,feature_avg_Segment_length,feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_l_turns,feature_num_r_turns,feature_num_straights,feature_road_distance,feature_std_angle,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
0,0.0696729427083288,0.30787667862030876,0.04581170006807358,1.0,0.9999999999999999,0.8245889690206558,0.9192351260521916,0.021549828587904867,0.691070335081178,0.5752468861539592,0.9009157781567363,0.0,0.2,0.8,0.5,0.4350578053001286,0.6688778154247962,1.0000000000000002,0.9233473933485571,0.0,0
1,0.9862216509060113,0.4422015104039865,0.6447282190208059,0.6269083942375342,0.18421939901147968,1.0,0.3384495434457259,0.6472694953756157,0.803163305788691,0.43284606835613965,0.9999999999999999,0.0,0.2,0.2,0.25,0.36145297198032966,0.5542276165364501,0.24232061893731383,0.8292879732668736,0.0,0
2,0.9079853555083344,0.6241136414463128,0.7887814882469504,0.0,0.11860704432433314,0.0,0.5174762066130749,0.7902923445500789,0.0,1.0,0.7498969266516247,1.0,0.0,0.6000000000000001,0.0,0.2685992705767932,0.07482078635101555,0.06674302429064144,0.0,0.0,0
3,0.2892107723978785,0.3502568840427224,0.24678122735719013,0.02171487951490967,0.8635575353085,0.2501346257144086,1.0,0.14000913669546722,0.5510619556241569,0.6564760563125447,0.7207693609009742,0.0,0.0,1.0000000000000002,0.25,0.6006803938150596,0.06207647813570291,0.895349436298982,0.029786837069874395,0.0,1
4,0.3465585483619773,0.34600258482385765,0.1636124018452476,0.8834685255201915,0.026156360498440764,0.8860917524473206,0.009204265055031247,0.10988428262358205,0.731964869135824,0.2756603699648216,0.8749133276682373,0.0,0.2,0.4000000000000001,0.5,0.3472855671440682,0.7004917500156334,0.05885428667917242,0.8800898320502143,0.0,0
5,0.09033275544913111,0.3702242264824088,0.46731143692357996,0.13219579613617077,0.13954267354064256,0.37092362447437077,0.0734720423668635,0.23079219294106318,0.8094575705384806,0.0,0.6202508474566606,0.0,0.2,0.4000000000000001,1.0,0.4840974504810889,0.174912923581216,0.13768063752201132,0.17090896510814385,0.0,0
6,0.02632454213712343,0.8179578625390734,0.12319006088632212,0.10928291883173033,0.20873109280668375,0.4886342074785404,0.648699505365526,0.052240078773253616,0.8509240766241635,0.8622116676238871,0.885889281104696,0.0,0.8,0.6000000000000001,0.25,0.6096506023220443,0.00999187928228859,0.1802890864216643,0.3563715155169687,0.0,0
119,0.13441282899854023,0.5810117876076549,0.3287456829664482,0.8718320851274234,0.03515360566007453,0.652689449308687,0.1211167877487615,0.16200489975632848,0.8922628274691901,0.530948192492722,0.02066569495915127,0.0775081573015996,0.8,0.6000000000000001,0.0,0.5887291426234118,0.9999999999999999,0.010935375561296617,0.6382389847335819,0.0,0
126,0.09073210866858206,0.5646601849180568,0.11197251091311511,0.07037531143976772,0.5494116488099358,0.3720689238790158,0.8218653381613912,0.05439360825907531,0.6637718709926311,0.7292060679408792,0.8669453069487112,0.0,0.4,0.8,0.25,0.48504538454174306,0.0,0.4972067930182111,0.17280853115226757,0.0,0
140,0.30767629507370686,0.0,0.9039085891015862,0.7535980586378314,0.1680273018130831,0.7104925579341399,0.4617592786183978,0.4475292686818692,0.7530166165064225,0.8962636542821178,0.7969184635900081,0.0,0.4,0.8,0.25,0.9999999999999998,0.48836119399027267,0.12490078798593646,0.7341098303346355,0.0,1
145,0.9868660138174197,0.30610174891140635,0.9854436420581331,0.7228388141065379,0.0016029385784450262,0.8633066919974114,0.002736134488088071,0.9855477643955388,0.7438482874526644,0.3634071501299648,0.7534290774728107,0.0,0.2,0.2,0.25,0.36221772548849773,0.8086091703280229,0.0015072477217208113,0.7159298569142624,0.0,0
165,1.0,0.3092620067130111,0.9999999999999999,0.7260535758477404,0.0,0.8628326858892417,0.0,0.9999999999999999,0.7402573523408558,0.36349906007195193,0.7507547823318421,0.0,0.2,0.2,0.25,0.3778056214265215,0.8142694224007861,0.0,0.7155367693495023,0.0,0
261,0.2906695473085592,0.5047347498062593,0.5758981230255683,0.2796951612697739,0.1780787692315007,0.3543493503392045,0.2308524122594156,0.28469717306455783,1.0,0.648185732388346,0.0,0.0,1.0,0.0,0.5,0.9596315374902795,0.7279022972605728,0.16020896695292003,0.14341927269630073,0.0,1
262,0.3011658005292768,0.6319347540726729,0.5712540204346617,0.4265805140562568,0.23596412526349145,0.64278638820154,0.36382322012783813,0.32409589291452834,0.8639788818437765,0.5862259686643383,0.8619793595045371,0.0,0.6000000000000001,0.4000000000000001,0.25,0.6255105581498752,0.2452441664065241,0.18920363792222322,0.5996242596169578,0.0,0
