Instances,feature_direct_distance,feature_min_angle,feature_min_pivot_off,feature_num_l_turns,feature_num_r_turns,feature_road_distance,feature_std_pivot_off,feature_uturns,algo_safety
0,0.8118135433752067,0.8675995805058077,0.0,0.0,0.5,0.7186991025004417,0.03512390435215618,0.0,0
1,0.9432176677617241,0.7816398859690519,1.0,0.0,0.16666666666666666,0.09060631380888329,0.6952195881166117,0.0,0
2,0.6775419595434271,0.8550938073002304,0.0,0.0,0.9999999999999999,0.775681875536572,0.0,0.0,0
3,0.18403081935372778,0.9987045112647649,0.0,0.25,0.0,0.1026831575848659,0.9999999999999998,0.0,1
4,0.17627060635774977,0.9999999999999999,0.0,0.25,0.0,0.07229416700587055,0.81202667916079,0.0,1
5,0.8483284467019778,0.9061858197252514,0.0,0.0,0.16666666666666666,0.9546262252737499,0.12780045867772083,0.0,0
6,0.17627060635774972,0.9999999119899522,0.0,0.25,0.0,0.07227313412243741,0.8112333681933208,0.0,1
7,0.0,0.9780912955170242,0.0,1.0,0.0,0.0,0.122844448819379,0.0,1
8,0.45681995980813356,0.9718893859200438,0.0,0.5,0.6666666666666666,0.7914788667810722,0.0340045560366789,0.0,0
9,0.4512910051335682,0.8806931274140152,0.0,0.0,0.33333333333333337,1.0000000000000002,0.05043805226048359,0.0,0
10,0.6316462880725362,0.783671763175878,0.0,0.25,0.33333333333333337,0.8026543348850772,0.17903629324301135,0.0,0
11,0.3875707601124842,0.0,0.0,0.25,0.5,0.02602554544175817,0.0007640803925886286,0.0,0
12,0.5864059575168525,0.891934225535046,0.0,0.25,0.9999999999999999,0.8002371051625479,0.5608249180573932,0.0,0
13,0.1840308193099952,0.9987045115710772,0.0,0.25,0.0,0.10268316720917103,0.9982713935490763,0.0,1
14,1.0,0.9655911406416506,0.0,0.25,0.33333333333333337,0.5576673575124638,0.2727598867126864,0.0,1
15,0.7308813629040107,0.9918383803170562,0.0,0.25,0.5,0.7269703916562242,0.6927070662700834,0.0,1
16,0.6428744751137452,0.8918990958369872,0.0,0.0,0.9999999999999999,0.800559930783334,0.5594256116043617,0.0,0
