Instances,feature_avg_Segment_length,feature_full_road_diversity,feature_std_pivot_off,feature_total_angle,algo_safety
0,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
1,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
2,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
3,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
4,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
5,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
6,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
7,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
8,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
9,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
10,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
11,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
12,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
13,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
14,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
15,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
16,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
17,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
18,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
19,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,1
20,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
21,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
22,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
23,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
24,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
25,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
26,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
27,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
28,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
29,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
30,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
31,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
32,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
33,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
34,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
35,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
36,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
37,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
38,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
39,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
40,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
41,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
42,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
43,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
