Instances,feature_avg_Segment_length,feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_l_turns,feature_num_r_turns,feature_num_straights,feature_road_distance,feature_std_angle,feature_std_pivot_off,feature_total_angle,algo_safety
0,0.05802791312632938,0.09123734672244105,0.09300044038934194,0.7734118347370605,0.03745167434591051,0.76286455437736,0.04180192669650002,0.09062177161706834,0.7502742914297909,0.04180192669650002,0.5849519312719953,0.028408693085197723,0.3333333333333333,0.3333333333333333,0.0,0.08754059063445474,0.7810127811830708,0.027138295950564828,0.7401441276798074,0
1,0.4997601856605714,0.8879696873851517,0.34325465785516024,0.12510653460260432,0.9884026144713403,0.2143096129654113,1.0,0.34777461682077504,0.17259485141987563,1.0,0.7519478925046608,0.48754420221823247,0.3333333333333333,0.3333333333333333,0.0,0.8585109434047592,0.07385962371307041,0.8603276846792902,0.2762975987715595,1
2,0.4697207943405826,0.8401050946135613,0.03557135532402556,0.09459830205750654,0.22951560471573787,0.18694792380576697,0.1876443000513166,0.03160956885965052,0.14378044455156044,0.1876443000513166,0.7549763344766868,0.0,0.0,0.3333333333333333,0.25,0.8060821724885895,0.04225143761626728,0.2619984545633175,0.25316112950724123,1
3,0.008685314875143152,0.2897560305894346,0.10044330234918403,0.11470334337745097,0.08952168633092794,0.17795178598528744,0.036594971814194556,0.039723738687009735,0.16985294355354272,0.0,0.563272263117399,0.0,0.0,0.3333333333333333,0.75,0.27779031818043476,0.08042303162756509,0.07226030124106918,0.20586268564678592,0
4,0.05831515525389158,0.07240870395612048,0.2056835944711965,0.6570287008402861,0.03795620706850637,0.6558903878412647,0.044544220549842715,0.20641120354795858,0.6376205316057748,0.044544220549842715,0.5884070675446558,0.034327369442526415,0.3333333333333333,0.3333333333333333,0.0,0.08804192408502343,0.6632322028840143,0.02446124299454184,0.6496890208441956,0
5,0.058116746038482214,0.09706886970619039,0.08530210667486533,0.924082635909914,0.03752504333472495,0.9029292833468918,0.039836152915319244,0.08271122194461109,0.897775495207111,0.039836152915319244,0.5853942764460079,0.023262422787070743,0.3333333333333333,0.3333333333333333,0.0,0.08769563373607642,0.9317939224517737,0.03005051413457459,0.8585799186103688,0
6,0.05791303139702167,0.10092367947451947,0.007179139379649259,0.9490713385259193,0.011175757796379138,1.0,0.009136926667107843,0.0024346794784889172,0.9999999999999999,0.009136926667107843,0.8159357774608301,0.0,0.3333333333333333,0.0,0.25,0.08734008364667434,0.8771490961355477,0.01275743875825671,0.9406608763760324,0
7,0.05802791312632938,0.09123734672244105,0.09300044038934194,0.7734118347370605,0.03745167434591051,0.76286455437736,0.04180192669650002,0.09062177161706834,0.7502742914297909,0.04180192669650002,0.5849519312719953,0.028408693085197723,0.3333333333333333,0.3333333333333333,0.0,0.08754059063445474,0.7810127811830708,0.027138295950564828,0.7401441276798074,0
8,0.4997601856605714,0.8879696873851517,0.34325465785516024,0.12510653460260432,0.9884026144713403,0.2143096129654113,1.0,0.34777461682077504,0.17259485141987563,1.0,0.7519478925046608,0.48754420221823247,0.3333333333333333,0.3333333333333333,0.0,0.8585109434047592,0.07385962371307041,0.8603276846792902,0.2762975987715595,1
9,0.4697207943405826,0.8401050946135613,0.03557135532402556,0.09459830205750654,0.22951560471573787,0.18694792380576697,0.1876443000513166,0.03160956885965052,0.14378044455156044,0.1876443000513166,0.7549763344766868,0.0,0.0,0.3333333333333333,0.25,0.8060821724885895,0.04225143761626728,0.2619984545633175,0.25316112950724123,1
10,0.008685314875143152,0.2897560305894346,0.10044330234918403,0.11470334337745097,0.08952168633092794,0.17795178598528744,0.036594971814194556,0.039723738687009735,0.16985294355354272,0.0,0.563272263117399,0.0,0.0,0.3333333333333333,0.75,0.27779031818043476,0.08042303162756509,0.07226030124106918,0.20586268564678592,0
11,0.05831515525389158,0.07240870395612048,0.2056835944711965,0.6570287008402861,0.03795620706850637,0.6558903878412647,0.044544220549842715,0.20641120354795858,0.6376205316057748,0.044544220549842715,0.5884070675446558,0.034327369442526415,0.3333333333333333,0.3333333333333333,0.0,0.08804192408502343,0.6632322028840143,0.02446124299454184,0.6496890208441956,0
12,0.058116746038482214,0.09706886970619039,0.08530210667486533,0.924082635909914,0.03752504333472495,0.9029292833468918,0.039836152915319244,0.08271122194461109,0.897775495207111,0.039836152915319244,0.5853942764460079,0.023262422787070743,0.3333333333333333,0.3333333333333333,0.0,0.08769563373607642,0.9317939224517737,0.03005051413457459,0.8585799186103688,0
13,0.05791303139702167,0.10092367947451947,0.007179139379649259,0.9490713385259193,0.011175757796379138,1.0,0.009136926667107843,0.0024346794784889172,0.9999999999999999,0.009136926667107843,0.8159357774608301,0.0,0.3333333333333333,0.0,0.25,0.08734008364667434,0.8771490961355477,0.01275743875825671,0.9406608763760324,0
